title	type	url_slug	venue	date	location	talk_url	description
Challenges in Physics based Machine Learning in Laser Powder Bed Fusion	Talk	talk-1	HI-AM 2022	2022-06-01	"Montreal QC, Canada"		In this talk I spoke about the benefits of introducing physics informed features in machine learning tasks that improve additive manufacturing. 
Trends in Manufacturing	Talk	talk-2	IEI - 'Quarantine Talks'	2020-05-24	Virtual	"""Quarantine Talks"" - Mr. Jigar patel LIVE - YouTube"	In this virtual presentation I spoke about the recent trends in manufacturing and the kind of career opportunities available in the US job market for students studying manufacturing. 
